,Name,Market Cap (US$ Billion)
0,Industrial and Commercial Bank of China Limited,5866.0
1,China Construction Bank,4532.05
2,Agricultural Bank of China,4354.56
3,Bank of China,4113.36
4,JPMorgan Chase,3773.88
5,Mitsubishi UFJ Financial Group,3737.31
6,HSBC,2958.15
7,Bank of America,2434.08
8,BNP Paribas,2429.26
9,Crédit Agricole,2256.72
10,Japan Post Bank,1984.62
11,SMBC Group,1954.78
12,Citigroup Inc.,1951.16
13,Wells Fargo,1927.56
14,Mizuho Financial Group,1874.89
15,Banco Santander,1702.61
16,Société Générale,1522.05
17,Barclays,1510.14
18,Groupe BPCE,1501.59
19,Postal Savings Bank of China,1467.31
20,Deutsche Bank,1456.26
21,Bank of Communications,1422.63
22,Goldman Sachs,1200.0
23,Royal Bank of Canada,1116.31
24,Lloyds Banking Group,1104.42
25,Toronto-Dominion Bank,1102.04
26,China Merchants Bank,1065.25
27,Intesa Sanpaolo,1057.82
28,Norinchukin Bank,1011.14
29,ING Group,1000.72
30,Industrial Bank (China),976.79
31,Crédit Mutuel,976.14
32,UBS,972.18
33,UniCredit,960.21
34,China Minsheng Bank,959.63
35,NatWest Group,957.6
36,Shanghai Pudong Development Bank,950.01
37,China CITIC Bank,904.02
38,Morgan Stanley,895.43
39,Scotiabank,872.62
40,Credit Suisse,812.91
41,Bank of Montreal,789.92
42,Banco Bilbao Vizcaya Argentaria,782.16
43,Standard Chartered,720.4
44,Commonwealth Bank,688.4
45,China Everbright Bank,679.81
46,Rabobank,662.77
47,Australia and New Zealand Banking Group,661.72
48,State Bank of India,640.31
49,Nordea,622.66
50,Westpac,611.47
51,National Australia Bank,571.34
52,Ping An Bank,565.72
53,Danske Bank,564.83
54,DZ Bank,561.54
55,U.S. Bancorp,553.9
56,Resona Holdings,549.51
57,Sumitomo Mitsui Trust Holdings,509.28
58,Canadian Imperial Bank of Commerce,495.99
59,Sberbank of Russia,482.53
60,Shinhan Bank,478.5
61,Commerzbank,478.4
62,Truist Financial Corp,473.08
63,KB Financial Group Inc,449.15
64,CaixaBank,439.25
65,DBS Bank,430.45
66,Nomura Holdings,425.5
67,Huaxia Bank,422.74
68,ABN AMRO,420.89
69,Banco do Brasil,416.03
70,PNC Financial Services,410.3
71,Itaú Unibanco,407.37
72,Capital One,390.37
73,The Bank of New York Mellon,381.51
74,Bank of Beijing,374.97
75,Nonghyup Bank,369.92
76,OCBC Bank,365.57
77,Hana Financial Group,365.1
78,Banco Bradesco,345.21
79,China Guangfa Bank,343.26
80,Handelsbanken,328.59
81,KBC Bank,327.87
82,Caixa Econômica Federal,321.68
83,DNB ASA,317.75
84,State Street Corporation,314.71
85,Woori Bank,313.54
86,Nationwide Building Society,307.45
87,Bank of Shanghai,306.04
88,SEB Group,305.79
89,La Banque postale,304.88
90,United Overseas Bank,300.68
91,Landesbank Baden-Württemberg,287.99
92,Erste Group,275.72
93,Industrial Bank of Korea,275.54
94,BayernLB,266.27
95,Qatar National Bank,259.48
96,China Zheshang Bank,258.63
97,Swedbank,257.79
98,Raiffeisen Gruppe,256.43
